id_l,id_r
2498,4159
1214,4152
85,4155
552,4154
2077,4148
1021,4150
1082,4151
1504,4144
418,4145
1520,4146
469,4147
1599,4140
1964,4141
2270,4143
652,4136
135,4137
306,4138
412,4139
676,4552
1727,4553
1870,4554
1107,4555
1587,4354
1095,4355
2519,4357
300,4358
190,4359
93,4328
236,4330
2150,4334
2525,4337
1178,4340
1156,4342
1042,4254
1787,4250
176,4262
332,4259
2112,4239
353,4236
1221,4232
84,4243
765,4288
2517,4290
1820,4269
1989,4268
1801,4242
2043,4353
593,4356
50,4329
341,4331
513,4333
1150,4332
366,4335
1418,4336
1559,4339
1300,4338
1700,4341
1426,4343
1604,4255
2348,4252
992,4253
375,4251
1395,4248
530,4249
2088,4263
990,4260
1111,4261
1638,4258
1533,4256
1234,4257
1689,4238
1647,4237
2084,4235
1441,4234
2053,4233
1718,4247
2497,4246
678,4245
2217,4244
975,4241
1014,4240
180,4284
1102,4285
167,4286
1659,4287
980,4280
2435,4281
1099,4282
78,4283
404,4292
804,4264
1956,4293
773,4294
1564,4295
1444,4289
987,4291
1909,4695
1887,4694
1864,4704
241,4711
468,4654
2326,4652
1783,4651
257,4650
1517,4663
939,4661
1174,4660
262,4659
659,4658
803,4657
2319,4668
901,4669
2516,4666
68,4664
1423,4665
488,4678
2277,4679
2236,4676
2317,4677
1402,4621
1578,4617
1370,4619
651,4630
11,4626
1400,4635
536,4647
1134,4642
393,4866
1323,4705
528,4690
333,4693
776,4692
1754,4696
871,4697
762,4698
916,4699
1915,4700
1927,4701
318,4702
577,4703
38,4706
2227,4707
611,4708
1198,4709
281,4710
2565,4655
105,4653
1084,4649
2076,4648
1614,4662
1211,4656
2092,4670
2251,4671
2276,4667
478,4675
2563,4672
1299,4673
2333,4623
888,4622
401,4616
887,4618
1794,4629
1613,4631
1354,4625
1226,4624
260,4636
1593,4637
497,4638
1721,4639
2128,4632
1849,4633
1952,4634
1767,4644
868,4645
1876,4646
1188,4640
555,4641
1321,4643
1516,3259
1037,3258
1773,3257
633,3263
1603,3261
576,3260
2105,3313
643,3314
134,3315
1797,3306
1769,3309
1651,3310
944,3296
1413,3298
227,3302
1067,3289
43,3288
292,3290
699,3293
244,3295
149,3294
516,3351
337,3348
161,3349
1238,3347
61,3344
2189,3342
786,3336
2467,3330
1827,3329
196,3328
556,3327
626,3326
1758,3323
1790,3322
1803,3321
2354,3320
1270,3382
1352,3383
1388,3379
1114,3372
727,3256
903,3262
1253,3312
370,3316
2215,3317
845,3318
2068,3319
1278,3304
1098,3305
1589,3307
2011,3308
1690,3311
2039,3297
2428,3299
145,3301
719,3300
2040,3303
434,3291
1511,3292
869,3350
2153,3346
1703,3345
1006,3343
251,3340
2285,3341
1756,3338
2206,3339
1437,3337
75,3335
406,3334
849,3333
859,3332
1883,3331
1170,3325
1392,3324
1301,3380
2591,3381
225,3376
1451,3377
539,3378
295,3373
382,4674
716,4628
1996,4627
2239,4792
1474,4794
2139,4836
2265,4840
2241,4844
1505,4814
1380,4818
1630,4796
1306,4832
1556,4830
2237,4834
547,4838
1557,4842
51,4816
1894,4820
2030,4824
421,4822
1289,4828
1066,4826
1100,4769
210,4770
1122,4767
667,4768
1911,4874
2549,4872
1622,4858
29,4896
2427,4876
1875,4870
2244,4850
947,4852
1326,4846
553,4848
1157,4860
1868,4854
2402,4856
2073,4900
2222,4898
1255,4894
654,4908
1062,4738
355,4736
1452,4741
1601,4683
1330,4733
2250,4739
2543,4737
2248,4742
293,4743
1995,4753
1522,4681
405,4754
1813,4682
1464,4684
684,4686
427,3518
1979,3519
2411,3537
624,3536
1381,3539
39,3530
2116,3516
1963,3517
131,3543
448,3529
1296,3225
1945,3227
2507,3237
1828,3239
2580,3232
1899,3520
2099,3526
564,3513
902,3226
2424,3236
691,3238
1313,3233
748,3234
1135,3522
801,3524
475,3527
57,3515
574,3130
2401,3131
705,3129
1328,3133
826,3178
982,3158
1327,3156
2055,3135
1720,3137
575,3143
1687,3141
850,3176
433,3181
1857,3375
2489,3369
188,3365
1585,3364
942,3360
1485,3353
254,3145
952,3368
1817,3370
797,3371
519,3359
20,3358
187,3355
1681,3147
2522,2964
2592,2965
2079,3282
358,3281
386,3285
399,3274
706,2961
1573,2966
2218,2967
2433,3283
1229,3280
1420,3286
1275,3287
1236,3276
276,3267
2601,3265
828,3271
88,3268
1250,3170
2608,3171
2028,3172
2583,3214
1310,3210
866,3169
1656,3173
1881,3174
2343,3175
46,3208
541,3223
1844,3221
1305,3219
1403,3183
2561,3185
446,3161
286,3164
136,3166
2514,3182
1039,3184
481,3187
2455,3186
1739,3189
2327,3188
962,3190
977,3160
359,3163
894,3090
1448,3092
1121,3089
714,3088
1978,3095
893,3094
529,3093
304,3167
881,3083
1674,3082
1469,3081
122,3080
1929,3087
1267,3070
1636,3069
1173,3064
1939,3065
715,3071
1645,3180
642,3068
2240,3091
1372,3118
450,3074
1547,3073
1935,3114
1986,3117
662,3116
2567,3119
1644,3075
330,3072
2155,3078
2399,3105
2176,3106
2087,3107
1537,3108
926,3110
1811,3097
511,3099
1733,3109
898,3111
915,3098
634,3101
1633,3121
2528,3122
2359,3096
2377,3100
2184,3102
2312,3103
2454,3120
113,3123
2287,2701
1353,2700
1576,2703
2078,2702
891,2704
115,2707
1571,2706
372,2709
2006,2705
2254,2737
591,2736
1235,2742
394,2714
1704,2715
2439,2712
0,2733
2194,2732
2304,2739
1672,2738
1385,2743
1075,2741
2533,2740
2575,2713
186,2718
877,2719
1786,2716
607,2629
622,2631
177,2624
2485,2625
1244,2626
1258,2627
1200,2731
675,2628
2086,2630
672,2730
2407,2729
1882,2728
2541,2735
764,2853
751,2852
1992,2843
1436,2840
1596,2846
1139,2845
598,2854
472,2842
2131,2841
2181,2847
2477,2844
2547,4385
1805,4380
2019,4389
408,4390
1619,4391
392,4384
1526,4386
2313,4387
934,2950
2075,4381
840,4382
647,4383
1822,4376
692,4377
821,4378
1133,4364
1163,4368
1280,4371
1745,4370
1980,4365
778,4367
1724,4379
1941,4366
698,4361
683,4360
1549,4363
1355,4362
2091,4388
22,4478
965,4477
1750,4373
909,4372
371,4479
213,4476
8,4375
2224,4374
2545,4369
1346,4534
1518,4533
287,4531
1542,4528
49,4529
1361,4522
1616,4523
1551,4520
1276,4521
1076,4535
2295,4530
2293,4543
71,4542
2322,4508
1545,4504
1376,4517
635,4518
759,4513
886,4515
173,4511
403,4510
1513,4507
1010,4506
1105,4516
2585,4519
2574,4512
2296,4514
486,4526
303,4527
98,4524
66,4613
1398,4612
558,4495
1329,4488
685,4492
2289,4493
592,4494
1365,4489
546,4490
696,4491
2108,4500
9,4501
2360,4502
2178,2988
712,2992
2080,2993
2315,2995
2478,2997
1080,2936
2421,2989
1366,2990
2012,2991
925,2994
1696,2996
1103,2998
374,2999
1561,2938
1172,2937
1020,2939
1574,2942
1167,2941
2568,4227
2566,4231
1119,4230
1151,4220
2247,4224
1867,4226
2066,4229
835,4228
1015,4217
162,4216
1265,4219
2438,4218
1770,4221
1607,4223
2117,4222
1202,4208
755,4188
723,4176
1104,4177
414,4183
2290,4171
996,4168
2363,4175
1506,4191
439,4190
1809,4189
1179,4178
2329,4179
2191,4182
2134,4180
2602,4181
739,4170
2483,4169
40,4174
132,4276
2556,4273
2160,4195
2169,4194
1450,4193
1960,4198
1016,4279
129,4278
1529,4272
1438,4275
544,4274
1241,4192
240,4199
55,4310
1052,4309
588,4345
1090,4308
1206,4344
1515,4346
1192,4347
1768,4348
1923,4349
1851,4350
112,4351
1524,4302
2610,4305
2396,4298
2596,4297
52,4296
121,4303
1320,4300
770,4307
2393,4306
2283,4304
312,4315
455,4319
331,4317
816,4323
2582,3921
1024,4314
407,4312
1325,4318
1331,4316
948,4322
2504,4320
1984,4321
722,4326
1425,4812
2423,4787
1922,4788
1419,4789
104,4790
1257,4791
108,4868
1096,4862
578,4864
681,4689
603,4688
1552,4691
2008,3852
2611,3853
1106,3854
522,3153
193,3152
199,3159
1987,3148
2451,3155
1249,3154
2613,3151
2266,3144
1480,2956
165,2957
2302,2962
1164,2945
2520,2944
299,2951
1691,2940
579,2947
1231,2946
460,2985
563,2986
283,2987
1272,3076
2356,3077
147,3079
2562,3113
1223,3112
466,3126
787,3124
1755,3127
1900,3125
1843,2697
1711,2696
1999,2699
865,2698
138,2727
2267,2724
485,2725
1089,2720
1063,2721
1717,2726
1378,2717
2362,2723
1269,2722
1565,2751
1128,2750
700,2748
1693,2833
1476,2832
639,2834
612,2755
324,2754
969,2749
350,2849
1577,2848
445,2855
1045,2747
569,2746
1429,2866
1038,4475
1778,4472
1252,4473
1338,4541
2018,4539
2208,4538
2474,4540
933,4499
2121,4509
2505,4498
680,4503
1108,4497
1185,4496
1125,4564
1123,4565
1357,4566
2063,4560
889,4561
1297,4562
2603,4563
1661,4556
782,4557
2307,4558
79,4559
345,4172
233,4173
94,4225
2094,4186
707,4185
2529,4184
2446,4197
756,4196
501,4187
77,4267
1491,4266
265,4277
679,4271
874,4270
1706,4265
1036,4327
248,4324
911,4325
1942,4299
2328,3919
703,3913
2415,3925
1907,3927
1112,3915
1459,3933
126,3935
1308,3917
673,3938
620,2955
110,2952
2536,2953
2371,2959
2042,2949
1356,2948
1056,2954
2470,2958
713,3958
1821,3961
1061,3900
91,3944
1508,4020
560,3918
2193,3948
785,3945
2202,3940
1521,4014
367,4026
1957,4805
27,4034
231,4013
1789,3922
1921,3903
1228,3969
1539,4809
796,3947
1171,3960
291,3929
1540,4024
315,4027
59,4803
2233,3920
1519,3905
2197,3931
1842,3909
2604,3950
1364,3954
618,3914
1618,3899
922,3932
1482,4021
1025,3904
503,3955
395,4781
336,4785
351,3970
832,4028
857,3906
1550,4801
2225,3859
735,4019
2309,4795
398,4012
615,4033
1227,3962
2347,3951
2479,3901
872,3673
2518,4029
586,3678
1012,4783
102,4779
1723,3952
2609,3959
2101,4813
1473,3907
1512,3898
1584,4811
1307,3924
798,3897
951,3916
1232,3968
1906,4011
2299,3942
1050,3936
2403,3912
1895,3966
2025,3858
1401,3896
2615,4022
2279,4030
2110,3963
950,4799
2034,3902
616,3964
2069,4023
334,3949
19,4025
2355,3967
1663,3937
2010,4807
2083,3953
1590,4780
2586,4782
999,3928
2234,4784
736,3943
1683,3957
537,3965
1575,3930
573,3946
878,3941
1373,3910
1230,4031
1130,3857
1475,4032
1217,3956
1177,3908
1018,3911
1738,3934
1954,3939
212,3926
2252,3863
1710,4752
2005,3998
873,3499
2114,3495
1926,4008
2308,3505
2475,3861
2286,3975
2058,4015
296,3971
441,3979
605,3509
504,3487
2190,3484
1774,3507
87,3482
1538,3489
21,3989
1677,4010
890,3481
279,4017
195,3504
1085,3508
2373,4005
677,3982
1484,3488
339,3977
1094,3492
1256,3973
1643,4004
1183,3473
1219,3498
2038,3511
2336,4007
1092,3972
521,4755
1433,3494
62,3856
2557,3984
985,3493
2216,3467
1572,3978
572,4001
1973,3999
1775,3486
2581,4006
2141,3477
2342,4003
2361,4000
1806,3988
2523,3992
1969,3497
1936,4002
738,3476
2532,3990
2016,3996
2020,3995
2226,3491
724,4016
1646,3510
1034,3987
417,3503
1148,4018
1975,3474
2358,3485
757,3465
843,3466
1597,3976
1268,3479
1594,3496
2590,3675
2534,3862
2288,4009
506,3994
396,3993
1962,3483
1760,3472
548,3983
216,3501
309,3985
1684,3997
429,3980
1007,3986
1846,3478
2264,4786
954,3500
2269,3981
769,3480
280,4756
92,3991
945,3475
1971,3502
884,3974
1536,3490
250,3428
82,3426
1153,3414
784,3412
2180,3468
2499,3430
2186,3444
2126,3462
2420,3413
1859,3423
2085,3432
1457,3451
319,3440
1343,3460
856,3471
2003,3420
1182,3434
1026,3410
896,3453
1944,3409
1796,3458
25,3422
42,3461
2002,3416
1669,3455
760,3452
2476,3439
701,3405
1368,3419
107,3415
1344,3408
852,3457
2001,3402
1781,3400
1390,3399
2049,3454
1737,3446
118,3860
2340,3684
2199,3449
2417,3459
1207,3418
1147,3435
1266,4758
923,3437
725,4757
2493,3403
60,3448
1005,3411
106,3401
1187,3427
1664,3398
1862,3470
63,3425
994,3433
1815,3464
1011,3406
100,3674
1209,3438
409,3404
774,3442
239,3429
568,3443
435,3456
2297,3445
2104,3447
1487,3431
487,3417
1439,3407
263,3463
733,3469
2352,3424
1810,3685
2432,3421
302,3436
2171,3441
1653,3450
2207,3395
1657,3621
2593,3576
2372,3609
1766,3627
2416,3592
1972,3394
305,3388
1051,3635
630,3580
1510,3618
2188,3384
2332,3591
2444,3585
70,3579
533,3624
397,3632
772,3578
1854,3608
174,3581
809,3631
930,3386
913,3620
419,3590
470,3607
252,3587
732,3611
361,3596
1143,4762
170,3599
2140,3397
514,3601
1138,3396
2013,3602
1582,3629
1055,3613
1471,3393
2331,3630
2156,3577
2052,3610
352,3604
2102,3583
1259,3633
1889,3612
2553,3639
1839,3625
961,3598
831,3389
1728,3615
256,3636
2412,3616
844,3391
1477,3600
2408,3623
993,3626
2271,3392
839,3614
1833,3597
829,3617
638,3622
1509,3390
1032,3584
1029,3586
226,3628
2442,3638
729,3637
599,3603
1316,3605
208,3634
2383,3687
1830,3387
380,3686
625,3594
2124,3582
1933,3606
2120,3385
483,3593
1528,3595
465,3619
594,4759
402,4751
217,4760
2145,3551
2595,3642
1782,3558
2143,3689
744,3688
2490,3649
2379,3653
2406,3699
1162,3553
1375,3545
1070,3655
72,3703
218,3652
806,3643
2119,3648
347,3570
1298,3702
32,3560
1072,3561
1347,3568
1467,3700
507,3548
410,3589
1117,3690
2426,3654
694,3693
2577,3546
791,3564
1421,3645
1715,3575
963,3547
1534,4772
2159,3544
1650,3695
1555,3563
1440,3647
2378,3644
1826,3650
325,3574
1196,3646
436,3567
2291,3552
988,3565
103,3566
2510,3681
1930,3559
2200,3562
515,3691
1349,3698
298,3569
1197,3697
2495,3556
542,3651
836,3549
565,3692
456,3557
328,3571
2382,3694
2376,3588
2397,3641
124,3680
2600,3572
822,3701
2089,3550
1970,3696
2201,3573
1924,3757
1641,3736
34,3763
1136,3764
538,3658
2132,3744
1729,3766
1120,3708
171,3746
2311,3759
1181,3663
207,3670
664,3710
892,3738
3,3741
391,3716
1,3709
2185,3717
2146,3707
2492,3740
47,3749
1203,4774
420,3667
1481,3664
2460,4775
1858,3711
2530,3758
158,3660
1981,3683
815,3761
1631,3713
356,3668
1428,3704
640,3666
2118,3760
1360,3669
1507,3665
766,3751
1812,3754
858,3755
413,3745
2341,3662
2033,3706
960,3714
2554,3737
814,3718
2440,3742
327,3671
1273,3661
23,3765
1795,3640
1950,3657
900,3747
531,3705
15,3748
495,3719
35,3656
1264,3767
2263,3756
2187,3712
1642,4771
1246,4776
641,3659
1358,4773
1472,3752
1165,3753
1294,3750
597,3762
1201,3739
128,3715
1997,3682
2061,3743
1466,4060
1592,3726
1430,4091
1285,4089
1746,4081
1994,4097
737,4039
788,3727
567,4072
1918,4085
2310,4093
320,4058
119,4094
69,4095
1998,4082
1993,4078
1965,4064
1247,4074
2552,4059
863,4087
2032,4067
1852,4057
2210,4056
811,3720
4,4066
2375,3732
2551,4052
1213,4080
1478,4073
1304,4079
1263,3728
995,4061
2256,3731
793,3677
1621,4096
388,4076
1620,3721
83,4070
154,4062
459,4075
1662,3735
373,4063
2521,4051
1757,4092
606,4054
1048,3723
80,4077
2000,3733
415,4084
253,3722
2096,4088
2246,3724
2262,4040
2205,4098
1322,4065
1002,3676
1807,4069
164,4083
1497,3734
430,3729
2281,4042
674,4071
2526,4055
2330,3672
2472,3725
910,4090
2129,3730
307,4777
1047,4053
148,4086
1804,4778
1254,4068
1396,4903
2182,4048
600,4851
2607,4909
1850,4841
2390,4889
2072,4100
2230,4881
1416,4891
1548,4907
1303,4853
10,4905
2353,4044
783,4855
2192,4038
234,4823
1336,3679
273,4901
929,4849
608,4845
41,4899
1748,4046
1937,4103
1194,4793
967,4835
1902,4847
660,4865
349,4857
2413,4883
861,4869
2100,4829
2430,4861
2570,4843
1493,4867
2056,4825
365,4893
1115,4041
141,4817
1831,4895
2081,4035
649,4099
1415,4871
2106,4897
2392,4043
2109,4819
2183,4859
1685,4885
1408,4833
1447,4821
1341,4815
1652,4102
1350,4873
153,4827
1309,4879
426,4101
1495,4887
99,4863
1186,4839
1861,4037
2540,4875
1816,4831
1190,4837
53,4049
1245,4797
2419,4036
1116,4877
1764,4045
31,4050
26,4047
1291,4725
482,4730
400,4731
223,4726
1759,4724
2045,3804
1983,4714
2301,4712
1982,4718
669,4715
510,4713
1212,4719
1560,3883
1523,3879
830,3880
1967,3881
1274,3878
752,3893
1623,3891
314,3890
2502,3894
2305,3895
855,3835
682,3834
1968,3892
1411,3846
1218,3843
1009,3842
198,3836
2151,3841
524,3840
1060,3837
13,3839
864,3838
2062,3833
1675,3877
1779,3874
2461,3876
120,3875
602,3873
64,3872
282,3871
2179,3870
1456,3788
702,3789
790,3785
768,3786
935,3787
7,3795
317,3798
518,3796
431,3797
1752,3799
28,3792
740,3793
2204,3865
720,3864
1878,3868
2320,3866
1580,3869
329,3867
2494,3775
854,3772
1666,3774
1410,3826
258,3827
2606,3769
1054,3771
2152,3782
971,3768
2456,3770
2385,3773
2404,3779
2154,3778
2558,3783
376,3781
18,3780
2321,3791
2571,3777
545,3776
1872,3790
1655,3810
1404,3809
1169,3811
1204,3808
1295,3822
763,3820
1772,3823
1118,3821
76,3825
479,3824
363,3830
245,3831
2410,3818
940,3817
2542,3828
12,3829
1498,3819
369,3816
1057,3229
2434,3231
2035,3228
1648,3230
1319,3248
1210,3251
658,3252
805,3253
525,3255
182,3254
224,3249
2537,3241
1725,3240
2071,3243
986,3242
1928,3246
1019,3245
1435,3244
1611,3247
1753,3205
670,3203
449,3202
535,3200
272,3201
183,3196
1802,3195
823,3197
2074,3194
229,3192
853,3218
1834,3217
2436,3216
2046,3198
1829,3193
927,3206
644,3207
1351,3847
1397,3832
2550,3888
1751,3889
1714,3886
2009,3887
364,3884
1434,3885
264,3882
1091,3784
1701,3805
957,4717
2418,4716
2462,4723
14,4722
1747,4721
718,4720
2138,4727
378,4892
1562,4890
1193,4886
1637,4888
1798,4798
2338,4904
1686,4884
1465,4878
671,4906
2511,4902
998,4882
665,4880
2135,4729
458,4734
1609,4732
492,4728
1243,4735
2125,3851
753,3845
1340,3844
471,3855
1362,3848
508,3849
175,3850
344,3532
2255,3534
1553,3555
1033,3535
1086,3533
1792,3554
847,3807
631,3806
1885,3801
1731,3800
2007,3814
425,3803
37,3815
467,3813
956,3812
976,3802
259,4808
209,4800
342,4802
623,4804
1991,4806
1302,4810
411,4439
1377,3134
2524,4158
2027,4582
1654,3066
117,3212
313,4432
1697,3006
2597,4598
1946,4761
289,4313
1665,4153
795,4301
1489,2981
155,3275
1414,2674
551,2784
452,3528
1635,4311
2501,3009
974,3011
1069,3521
2473,3067
86,3115
730,3357
2274,2657
2431,4532
266,2734
1977,4525
1832,3270
1825,3923
2163,3363
2173,4505
666,3204
1848,3272
2535,2656
1682,3004
6,3362
775,2960
781,3213
2004,4352
2260,3139
178,3222
2368,3541
