id,title,authors,venue,year
182,An Overview of Repository Technology,"P Bernstein, U Dayal",VLDB,1994
183,Advanced XML Data Processing - Guest Editor's Introduction,K Aberer,SIGMOD Record,2001
184,Data Compression Support in Databases,"B Iyer, D Wilhite",VLDB,1994
185,Accessibility of the Database Literature,R Snodgrass,SIGMOD Record,2001
186,Treasurer's Message,,,2001
187,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,"S Anand, D Bell, J Hughes",VLDB,1994
188,Chair's Message,,,2001
189,Data Integration in the Large: The Challenge of Reuse,"A Rosenthal, L Seligman",VLDB,1994
190,Career-Enhancing Services at SIGMOD Online,"A Labrinidis, A Mendelzon",SIGMOD Record,2001
191,Experiments on Access to Digital Libraries: How can Images and Text be Used Together,M Lesk,VLDB,1994
192,PC Database Systems - Present and Future,P Bernstein,VLDB,1994
193,Editor's Notes,L Liu,SIGMOD Record,2001
194,Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project,"S Stolfo, W Lee, P Chan, W Fan, E Eskin",SIGMOD Record,2001
195,Distributed Top-K Monitoring,"B Babcock, C Olston",SIGMOD Conference,2003
196,Approximate Join Processing Over Data Streams,"A Das, J Gehrke, M Riedewald",SIGMOD Conference,2003
197,ADAM: A Testbed for Exploring the Use of Data Mining in Intrusion Detection,"D Barbará, J Couto, S Jajodia, N Wu",SIGMOD Record,2001
198,Detection and Classification of Intrusions and Faults using Sequences of System Calls,"J Cabrera, L Lewis, R Mehra",SIGMOD Record,2001
199,Containment Join Size Estimation: Models and Methods,"W Wang, H Jiang, H Lu, J Yu",SIGMOD Conference,2003
200,Relating Distributed Objects,"B Martin, R Cattell",VLDB,1994
201,Book Review Column,K Aberer,SIGMOD Record,2001
202,Integrating a Structured-Text Retrieval System with an Object-Oriented Database System,"T Yan, J Annevelink",VLDB,1994
203,Describing Semistructured Data,L Cardelli,SIGMOD Record,2001
204,Chair's Message,,,2001
205,"\User Interfaces; Who Cares?\""""",S Spaccapietra,VLDB,1994
206,Special Issue on Data Mining for Intrusion Detection and Threat Analysis - Guest Editor's Introduction,,,2001
207,Scientific Databases - State of the Art and Future Directions,"M Zemankova, Y Ioannidis",VLDB,1994
208,Mining System Audit Data: Opportunities and Challenges,"W Lee, W Fan",SIGMOD Record,2001
209,Efficient similarity search and classification via rank aggregation,"R Fagin, R Kumar, D Sivakumar",SIGMOD Conference,2003
210,Using Unknowns to Prevent Discovery of Association Rules,"Y Saygin, V Verykios, C Clifton",SIGMOD Record,2001
211,Extracting Structured Data from Web Pages,"A Arasu, H Garcia-Molina",SIGMOD Conference,2003
212,Factorizing Complex Predicates in Queries to Exploit Indexes,"S Chaudhuri, P Ganesan, S Sarawagi",SIGMOD Conference,2003
213,Mining Email Content for Author Identification Forensics,"O Vel, A Anderson, M Corney, G Mohay",SIGMOD Record,2001
214,Transactional Information Systems - Book Review,,,2001
215,Estimating Compilation Time of a Query Optimizer,"I Ilyas, J Rao, G Lohman, D Gao, E Lin",SIGMOD Conference,2003
216,Extended Wavelets for Multiple Measures,"A Deligiannakis, N Roussopoulos",SIGMOD Conference,2003
217,Information Warfare and Security - Book Review,,,2001
218,"Gio Wiederhold Speaks Out on Moving into Academia in Mid-Career, How to Be an Effective Consultant, Why You Should Be a Program Manager as a Funding Agency, the Need for Ontology Algebra and Simulations, and More",,,2001
219,Chain : Operator Scheduling for Memory Minimization in Data Stream Systems,"B Babcock, S Babu, M Datar, R Motwani",SIGMOD Conference,2003
220,SIGMOD 2001 Industry Sessions,"G Lohman, C Galindo-Legaria, M Franklin, L Seligman",SIGMOD Record,2001
221,Capturing both Types and Constraints in Data Integration,"M Benedikt, C Chan, W Fan, J Freire, R Rastogi",SIGMOD Conference,2003
222,Reminiscences on Influential Papers,,,2001
223,Exchanging Intensional XML Data,"T Milo, S Abiteboul, B Amann, O Benjelloun, F Ngoc",SIGMOD Conference,2003
224,The GMAP: A Versatile Tool for Physical Data Independence,"O Tsatalos, M Solomon, Y Ioannidis",VLDB,1994
225,The Design and Performance Evaluation of Alternative XML Storage Strategies,"F Tian, D DeWitt, J Chen, C Zhang",SIGMOD Record,2002
226,Guest Editor's Introduction,,,2002
227,Including Group-By in Query Optimization,"S Chaudhuri, K Shim",VLDB,1994
228,Persistent Threads,"F Matthes, J Schmidt",VLDB,1994
229,The n-Tier Hub Technology,"R Sommer, T Gulledge, D Bailey",SIGMOD Record,2002
230,Supporting Global User Profiles Through Trusted Authorities,I Cingil,SIGMOD Record,2002
231,Memory-Contention Responsive Hash Joins,"D Davison, G Graefe",VLDB,1994
232,Business Data Management for B2B Electronic Commerce,"C Quix, M Schoop, M Jeusfeld",SIGMOD Record,2002
233,V-Trees - A Storage Method for Long Vector Data,"M Mediano, M Casanova, M Dreux",VLDB,1994
234,Qualified Answers That Reflect User Needs and Preferences,"T Gaasterland, J Lobo",VLDB,1994
235,Semantic B2B Integration: Issues in Ontology-based Applications,"Z Cui, D Jones, P O'Brien",SIGMOD Record,2002
236,RP*: A Family of Order Preserving Scalable Distributed Data Structures,"W Litwin, M Neimat, D Schneider",VLDB,1994
237,The Role of B2B Engines in B2B Integration Architectures,C Bussler,SIGMOD Record,2002
238,Supply Chain Infrastructures: System Integration and Information Sharing,"M Ball, M Ma, L Raschid, Z Zhao",SIGMOD Record,2002
239,On Index Selection Schemes for Nested Object Hierarchies,"S Chawathe, M Chen, P Yu",VLDB,1994
240,Interview with Avi Silberschatz,,,2002
241,Reasoning About Spatial Relationships in Picture Retrieval Systems,"A Sistla, C Yu, R Haddad",VLDB,1994
242,What Will Be - Book Review,,,2002
243,On Spatially Partitioned Temporal Join,"H Lu, B Ooi, K Tan",VLDB,1994
244,Modelling and Querying Video Data,"R Hjelsvold, R Midtstraum",VLDB,1994
245,Too Much Middleware,M Stonebraker,SIGMOD Record,2002
246,Materialization: A Powerful and Ubiquitous Abstraction Pattern,"A Pirotte, E Zimányi, D Massart, T Yakusheva",VLDB,1994
247,The XML Typechecking Problem,D Suciu,SIGMOD Record,2002
248,Report on the 18th British National Conference on Databases (BNCOD),,,2002
249,Maximizing Buffer and Disk Utilizations for News On-Demand,"R Ng, J Yang",VLDB,1994
250,Reminiscences on Influential Papers,,,2002
251,Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages,"A Poulovassilis, C Small",VLDB,1994
252,Join Index Hierarchies for Supporting Efficient Navigations in Object-Oriented Databases,"Z Xie, J Han",VLDB,1994
253,Letter to SIGMOD Record Editor,N Elderini,,2002
254,Hilbert R-tree: An Improved R-tree using Fractals,"I Kamel, C Faloutsos",VLDB,1994
255,Why I Like Working in Academia,R Snodgrass,SIGMOD Record,2002
256,A Survey of Logical Models for OLAP Databases,"P Vassiliadis, T Sellis",SIGMOD Record,1999
257,QC-Trees: An Efficient Summary Structure for Semantic OLAP,"L Lakshmanan, J Pei, Y Zhao",SIGMOD Conference,2003
258,FinTime - A Financial Time Series Benchmark,"K Jacob, D Shasha",SIGMOD Record,1999
259,Spreadsheets in RDBMS for OLAP,"A Witkowski, S Bellamkonda, T Bozkaya, G Dorman, N Folkert, A Gupta, L Sheng, S Subramanian",SIGMOD Conference,2003
260,XRANK: Ranked Keyword Search over XML Documents,"L Guo, F Shao, C Botev, J Shanmugasundaram",SIGMOD Conference,2003
261,Diluting ACID,"T Kempster, C Stirling, P Thanisch",SIGMOD Record,1999
262,Querying Structured Text in an XML Database,"S Al-Khalifa, C Yu, H Jagadish",SIGMOD Conference,2003
263,Design and Management of Data Warehouses: Report on the DMDW'99 Workshop,"S Gatziu, M Jeusfeld, M Staudt, Y Vassiliou",SIGMOD Record,1999
264,ViST: A Dynamic Index Method for Querying XML Data by Tree Structures,"H Wang, S Park, W Fan, P Yu",SIGMOD Conference,2003
265,Editor's Notes,M Franklin,SIGMOD Record,1999
266,Rights Protection for Relational Data,"R Sion, M Atallah, S Prabhakar",SIGMOD Conference,2003
267,SQL Standardization: The Next Steps,"A Eisenberg, J Melton",SIGMOD Record,2000
268,Reminiscences on Influential Papers,,,2000
269,Information Sharing Across Private Databases,"R Agrawal, A Evfimievski, R Srikant",SIGMOD Conference,2003
270,Incremental Maintenance of Recursive Views Using Relational Calculus/SQL,"G Dong, J Su",SIGMOD Record,2000
271,Winnowing: Local Algorithms for Document Fingerprinting,"S Schleimer, D Wilkerson, A Aiken",SIGMOD Conference,2003
272,Data Quality and Data Cleaning: An Overview,"T Johnson, T Dasu",SIGMOD Conference,2003
273,ACM-SIGMOD Digital Review,H Jagadish,SIGMOD Record,2000
274,SIGMOD Sister Societies,"S Ceri, L Kalinichenko, M Kitsuregawa, H Lu, Z Özsoyoglu, R Snodgrass, V Vianu",SIGMOD Record,2000
275,BIRN-M: A Semantic Mediator for Solving Real-World Neuroscience Problems,"A Gupta, B Ludäscher, M Martone",SIGMOD Conference,2003
276,A System for Watermarking Relational Databases,"R Agrawal, P Haas, J Kiernan",SIGMOD Conference,2003
277,Chair's Message,,,2000
278,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies,"A Paepcke, H Garcia-Molina, G Rodríguez-Mulà, J Cho",SIGMOD Record,2000
279,Aurora: A Data Stream Management System,"D Abadi, D Carney, U Çetintemel, M Cherniack, C Convey, C Erwin, E Galvez, M Hatoun, A Maskey, A Rasin, A Singer, M Stonebraker, N Tatbul, Y Xing, R Yan, S Zdonik",SIGMOD Conference,2003
280,Improving the Efficiency of Database-System Teaching,J Ullman,SIGMOD Conference,2003
281,Comparative Analysis of Five XML Query Languages,"A Bonifati, S Ceri",SIGMOD Record,2000
282,An Extensible Compressor for XML Data,"H Liefke, D Suciu",SIGMOD Record,2000
283,"Proceedings of the 2003 ACM SIGMOD International Conference on Management of Data, San Diego, California, USA, June 9-12, 2003",,,2003
284,An Optimisation Scheme for Coalesce/Valid Time Selection Operator Sequences,C Vassilakis,SIGMOD Record,2000
285,Efficient Processing of Joins on Set-valued Attributes,N Mamoulis,SIGMOD Conference,2003
286,Hierarchies and Relative Operators in the OLAP Environment,"E Pourabbas, M Rafanelli",SIGMOD Record,2000
287,Data Grid Management Systems,"A Jagatheesan, A Rajasekar",SIGMOD Conference,2003
288,Evaluating Probabilistic Queries over Imprecise Data,"R Cheng, D Kalashnikov, S Prabhakar",SIGMOD Conference,2003
